customer_id,first_name,last_name,email,password,phone
87696351,William,Smith,william.smith@example.com,T^RF6HjcL!,+44 7182-155-577
82757554,Oscar,Brown,oscar.brown@example.com,G2Pc5ZuP%q,+44 7515-301-286
76391110,Thomas,Smith,thomas.smith@example.com,^d+9oNit5+,+44 7801-878-891
91750637,Harry,Williams,harry.williams@example.com,B8JmhXJg(%,+44 7443-932-999
89164479,Jacob,Taylor,jacob.taylor@example.com,$k2dJwsnk+,+44 7308-573-327
55019874,Jack,Brown,jack.brown@example.com,*2Derm31(C,+44 7427-807-411
00639625,Jacob,Wright,jacob.wright@example.com,4C@VVeqy!M,+44 7947-198-556
59878574,Jacob,Smith,jacob.smith@example.com,T$2HRX4a+6,+44 7688-805-371
78734798,Jacob,Jones,jacob.jones@example.com,$l73CXo75c,+44 7974-534-883
01501112,Charlie,Smith,charlie.smith@example.com,4%H92REs#7,+44 7478-724-357
12405407,William,Smith,william.smith@example.com,G&n8Hij%W!,+44 7708-954-220
74106642,George,Brown,george.brown@example.com,)@a6AJFs5+,+44 7114-612-380
23293126,Thomas,Williams,thomas.williams@example.com,m77V2d9d#y,+44 7300-996-385
40280925,Harry,Williams,harry.williams@example.com,Kgl#4Ubow7,+44 7526-910-474
57739797,Harry,Robinson,harry.robinson@example.com,cH6sAekqb&,+44 7881-385-899
96558739,Oliver,Taylor,oliver.taylor@example.com,P*74zBto^m,+44 7683-609-862
87533614,Jacob,Wright,jacob.wright@example.com,PYd%vC%s$0,+44 7622-974-192
75509325,Jack,Williams,jack.williams@example.com,dFb%P8Dosf,+44 7916-102-891
08575435,Oliver,Williams,oliver.williams@example.com,3u^1HNhRN*,+44 7596-425-919
96778440,James,Williams,james.williams@example.com,$^rVQPdv19,+44 7821-487-243
81166004,William,Smith,william.smith@example.com,@kA8DxDcHY,+44 7494-517-917
04374438,James,Robinson,james.robinson@example.com,^e)Mu0Q+(4,+44 7215-393-192
20457333,Harry,Jones,harry.jones@example.com,m!(3kCGrLD,+44 7209-440-815
03088299,Oliver,Johnson,oliver.johnson@example.com,V&5NWKwvjd,+44 7907-823-452
90445314,Charlie,Wright,charlie.wright@example.com,(9#09JegHL,+44 7459-301-165
